Postal Code,Borough,Neighborhood,Latitude,Longitude
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6532057,-79.4000493
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6289467,-79.3944199
M5W,Downtown Toronto,Stn A PO Boxes,43.6464352,-79.37484599999999
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6484292,-79.3822802
M6A,North York,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999
M6B,North York,Glencairn,43.709577,-79.44507259999999
M6C,York,Humewood-Cedarvale,43.6937813,-79.42819140000002
M6E,York,Caledonia-Fairbanks,43.6890256,-79.453512
M6G,Downtown Toronto,Christie,43.669542,-79.4225637
M6H,West Toronto,"Dufferin, Dovercourt Village",43.66900510000001,-79.4422593
M6J,West Toronto,"Little Portugal, Trinity",43.647926700000006,-79.4197497
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.42819140000002
M6L,North York,"North Park, Maple Leaf Park, Upwood Park",43.713756200000006,-79.4900738
M6M,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.47601329999999
M6N,York,"Runnymede, The Junction North",43.67318529999999,-79.48726190000001
M6P,West Toronto,"High Park, The Junction South",43.6616083,-79.46476329999999
M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325
M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938
M7R,Mississauga,Canada Post Gateway Processing Centre,43.6369656,-79.61581899999999
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.6627439,-79.321558
M8V,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores",43.6056466,-79.50132070000001
M8W,Etobicoke,"Alderwood, Long Branch",43.60241370000001,-79.54348409999999
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653653600000005,-79.5069436
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.6362579,-79.49850909999999
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.6288408,-79.52099940000001
M9A,Etobicoke,"Islington Avenue, Humber Valley Village",43.6678556,-79.53224240000002
M9B,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale",43.6509432,-79.55472440000001
M9C,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood",43.6435152,-79.57720079999999
M9L,North York,Humber Summit,43.7563033,-79.56596329999999
M9M,North York,"Humberlea, Emery",43.7247659,-79.53224240000002
M9N,York,Weston,43.706876,-79.51818840000001
M9P,Etobicoke,Westmount,43.696319,-79.53224240000002
M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001
M9V,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens",43.739416399999996,-79.5884369
M9W,Etobicoke,"Northwest, West Humber - Clairville",43.706748299999994,-79.5940544
